protocol,sei_andamentos,sei_processos,sei_processos_temp_etl,found_in_any_table
00002.000022/2025-16,False,False,False,False
00002.000042/2025-97,False,False,False,False
00002.000448/2025-70,False,False,False,False
00002.000681/2025-52,False,False,False,False
00002.000818/2025-79,False,False,False,False
00002.000927/2025-96,False,False,False,False
00002.000987/2025-17,False,False,False,False
00002.001134/2025-94,False,False,False,False
00002.001202/2025-15,False,False,False,False
00002.001203/2025-60,False,False,False,False
00002.001204/2025-12,False,False,False,False
00002.001205/2025-59,False,False,False,False
00002.001206/2025-01,False,False,False,False
00002.001210/2025-61,False,False,False,False
00002.001448/2025-97,False,False,False,False
00002.002266/2025-33,False,False,False,False
00002.002282/2025-26,False,False,False,False
00002.002300/2025-70,False,False,False,False
00002.002325/2025-73,False,False,False,False
00002.002328/2025-15,False,False,False,False
00002.002334/2025-64,False,False,False,False
00002.002337/2025-06,False,False,False,False
00002.002340/2025-11,False,False,False,False
00002.002345/2025-44,False,False,False,False
00002.002348/2025-88,False,False,False,False
00002.002353/2025-91,False,False,False,False
00002.002396/2025-76,False,False,False,False
00002.002787/2025-91,False,False,False,False
00002.003312/2025-11,False,False,False,False
00002.003331/2025-48,False,False,False,False
00002.004235/2025-17,False,False,False,False
00002.004902/2025-61,False,False,False,False
00002.006738/2025-27,False,False,False,False
00002.007216/2025-42,False,False,False,False
00303.000009/2025-72,False,False,False,False
